ID,PLANT_ID,Year,Month,Day,Hour,Minute,DC_POWER,AC_POWER,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,YIELD
1,Plant 1,2020,5,15,0,0,0,0,25.18431613,22.8575074,0,0
2,Plant 1,2020,5,15,0,15,0,0,25.08458867,22.76166787,0,0
3,Plant 1,2020,5,15,0,30,0,0,24.9357526,22.59230553,0,0
4,Plant 1,2020,5,15,0,45,0,0,24.8461304,22.36085213,0,0
5,Plant 1,2020,5,15,1,0,0,0,24.62152536,22.16542264,0,0
6,Plant 1,2020,5,15,1,15,0,0,24.5360922,21.96857087,0,0
7,Plant 1,2020,5,15,1,30,0,0,24.63867387,22.35292567,0,0
8,Plant 1,2020,5,15,1,45,0,0,24.87302233,23.1609192,0,0
9,Plant 1,2020,5,15,2,0,0,0,24.93693047,23.026113,0,0
10,Plant 1,2020,5,15,2,15,0,0,25.0122476,23.34322927,0,0
11,Plant 1,2020,5,15,2,30,0,0,25.00514933,23.63945927,0,0
12,Plant 1,2020,5,15,2,45,0,0,24.99301953,24.0394858,0,0
13,Plant 1,2020,5,15,3,0,0,0,25.01630943,24.38413557,0,0
14,Plant 1,2020,5,15,3,15,0,0,24.98521527,24.35150773,0,0
15,Plant 1,2020,5,15,3,30,0,0,24.93773193,24.06029653,0,0
16,Plant 1,2020,5,15,3,45,0,0,24.87909953,23.70979413,0,0
17,Plant 1,2020,5,15,4,0,0,0,24.6789022,22.58994153,0,0
18,Plant 1,2020,5,15,4,15,0,0,24.3519308,21.78364253,0,0
19,Plant 1,2020,5,15,4,30,0,0,24.0626222,21.85252493,0,0
20,Plant 1,2020,5,15,4,45,0,0,24.0132242,22.306315,0,0
21,Plant 1,2020,5,15,5,0,0,0,24.1771058,22.55190847,0,0
22,Plant 1,2020,5,15,5,15,0,0,24.304888,22.97949207,0,0
23,Plant 1,2020,5,15,5,30,0,0,24.32872727,23.45238047,0,0
24,Plant 1,2020,5,15,5,45,0,0,24.28921113,23.09669193,0.000862721,0
25,Plant 1,2020,5,15,6,0,44.86422903,4.329960318,24.08844607,22.2067566,0.005886957,2.91723356
26,Plant 1,2020,5,15,6,15,292.4810091,28.25422336,24.01163527,22.35345867,0.022281607,11.83411925
27,Plant 1,2020,5,15,6,30,694.1433983,67.28157468,23.97673127,22.893282,0.049409724,22.49891775
28,Plant 1,2020,5,15,6,45,1301.208604,126.8385552,24.21899,24.44244393,0.095394454,40.82927489
29,Plant 1,2020,5,15,7,0,1879.35974,184.2119156,24.5373984,27.18565287,0.141940443,47.01028138
30,Plant 1,2020,5,15,7,15,2025.645833,198.5783009,24.8159595,28.88847786,0.154712676,49.92721862
31,Plant 1,2020,5,15,7,30,1982.695076,194.3606872,24.98878987,29.6056438,0.148799153,47.18425325
32,Plant 1,2020,5,15,7,45,2017.99513,197.8224838,25.21618033,29.54711093,0.144793419,57.83603896
33,Plant 1,2020,5,15,8,0,2947.036526,289.3458604,25.41951307,31.41254473,0.201638621,94.01753246
34,Plant 1,2020,5,15,8,15,4633.507143,454.639302,25.95908213,35.5287108,0.345707653,124.5809524
35,Plant 1,2020,5,15,8,30,5096.798431,499.8001353,26.43078207,40.3180586,0.405348573,104.5240801
36,Plant 1,2020,5,15,8,45,4204.793831,412.7303571,26.8318298,39.08195373,0.312426795,151.075487
37,Plant 1,2020,5,15,9,0,7527.222403,736.8795455,27.6209698,45.0092326,0.623152649,153.9910714
38,Plant 1,2020,5,15,9,15,4492.091721,440.5832792,27.98836207,46.6177065,0.344884036,86.72321427
39,Plant 1,2020,5,15,9,30,3478.284091,341.4272727,27.51672787,39.136326,0.2492484,120.2040043
40,Plant 1,2020,5,15,9,45,7335.001623,717.86875,27.45010767,40.93057693,0.541205977,218.7886905
41,Plant 1,2020,5,15,10,0,8319.373377,813.4908279,28.63219187,52.5477356,0.670675372,164.8547077
42,Plant 1,2020,5,15,10,15,7214.388799,705.9977273,28.76891273,47.633738,0.572283477,174.9836039
43,Plant 1,2020,5,15,10,30,5868.347078,574.9359903,29.3514426,49.24972327,0.455148383,135.2780845
44,Plant 1,2020,5,15,10,45,5141.961039,504.1649513,28.85470787,44.0483256,0.361961654,163.2118508
45,Plant 1,2020,5,15,11,0,8807.637987,860.7526947,29.41081933,47.6854534,0.636560881,198.3094695
46,Plant 1,2020,5,15,11,15,7286.419372,712.8960768,30.21606229,50.00698857,0.585787214,180.6041667
47,Plant 1,2020,5,15,11,30,7064.05276,691.2401786,30.2870728,49.8413636,0.557069383,161.1387987
48,Plant 1,2020,5,15,11,45,7621.281656,745.5267857,30.81104933,47.8363832,0.467986869,197.7199676
49,Plant 1,2020,5,15,12,0,7082.804383,693.2185606,31.30537507,49.18358353,0.514962587,195.9707792
50,Plant 1,2020,5,15,12,15,9525.881765,930.7735389,31.50729773,49.84449267,0.787866029,237.7621753
51,Plant 1,2020,5,15,12,30,8994.75,879.1685065,32.14768473,52.35325513,0.649247629,214.3693182
52,Plant 1,2020,5,15,12,45,9519.056277,930.4953463,32.3914204,50.63123993,0.761243312,185.5511363
53,Plant 1,2020,5,15,13,0,5901.925325,578.2671266,32.62279607,49.61076771,0.416035101,160.4764611
54,Plant 1,2020,5,15,13,15,6806.388799,666.6357143,32.49706447,47.01116133,0.489243946,179.8693182
55,Plant 1,2020,5,15,13,30,7980.612013,781.1663149,32.5246214,46.66986293,0.574561224,189.5243507
56,Plant 1,2020,5,15,13,45,7771.390422,760.761039,32.67847087,47.51688413,0.560985624,215.153409
57,Plant 1,2020,5,15,14,0,10110.85065,988.5030032,33.7631854,49.80390433,0.735083463,268.8011365
58,Plant 1,2020,5,15,14,15,11809.69481,1152.388474,34.13076993,55.030613,0.893661491,244.7292207
59,Plant 1,2020,5,15,14,30,6495.54237,635.8725487,34.08138427,54.51913673,0.466788824,150.1087122
60,Plant 1,2020,5,15,14,45,7305.251353,714.6843344,33.69572221,47.61819464,0.542138496,168.4420995
61,Plant 1,2020,5,15,15,0,5845.653409,572.8984578,33.89057607,46.0290812,0.398888543,151.2897727
62,Plant 1,2020,5,15,15,15,6511.597403,637.7739448,34.043744,44.28609193,0.447292149,173.1147187
63,Plant 1,2020,5,15,15,30,7588.469156,742.8599838,34.40285233,46.7442812,0.565196397,139.2662337
64,Plant 1,2020,5,15,15,45,4888.507305,479.2620942,34.43094267,43.9206158,0.346230693,137.6994048
65,Plant 1,2020,5,15,16,0,4960.030844,486.5465097,34.38115033,43.33285333,0.35818237,105.489448
66,Plant 1,2020,5,15,16,15,4522.409903,443.7930195,34.12625693,41.00743193,0.328896119,118.5219155
67,Plant 1,2020,5,15,16,30,4730.891234,464.1211039,34.35660993,41.28059067,0.344954196,101.9613096
68,Plant 1,2020,5,15,16,45,3535.32711,347.4436147,33.86159653,39.41907593,0.260346758,70.98511895
69,Plant 1,2020,5,15,17,0,2268.80763,222.4996753,33.44331357,36.82670364,0.166812741,56.29383127
70,Plant 1,2020,5,15,17,15,2259.939123,221.5911526,33.30025473,35.8522074,0.173898637,35.79301945
71,Plant 1,2020,5,15,17,30,1193.128788,116.2734848,33.0321222,34.3384004,0.08716189,21.59577923
72,Plant 1,2020,5,15,17,45,517.7840909,50.0911526,32.31187113,31.54853933,0.038403034,10.39042209
73,Plant 1,2020,5,15,18,0,295.6818182,28.56258117,31.13241364,30.225331,0.022544936,4.507305227
74,Plant 1,2020,5,15,18,15,99.96444805,9.643262987,29.24311093,28.6825074,0.009149945,1.063311636
75,Plant 1,2020,5,15,18,30,0,0,28.495518,27.28599227,0.001841025,0
76,Plant 1,2020,5,15,18,45,0,0,27.8840638,25.96194653,0,-1.415584416
77,Plant 1,2020,5,15,19,0,0,0,27.4559754,25.38531307,0,0
78,Plant 1,2020,5,15,19,15,0,0,27.0975484,25.2008464,0,0
79,Plant 1,2020,5,15,19,30,0,0,27.01870113,25.74526773,0.000125383,0
80,Plant 1,2020,5,15,19,45,0,0,23.78723747,22.5114056,0.00010022,0
81,Plant 1,2020,5,15,20,0,0,0,22.66317964,20.29072571,0,0
82,Plant 1,2020,5,15,20,15,0,0,23.41209707,20.73659667,0,0
83,Plant 1,2020,5,15,20,30,0,0,22.30098867,20.37541693,0,0
84,Plant 1,2020,5,15,20,45,0,0,22.0374816,20.31280513,0,0
85,Plant 1,2020,5,15,21,0,0,0,22.16851807,20.6512674,0,-2271.766234
86,Plant 1,2020,5,15,21,15,0,0,22.1193604,20.6320862,0,0
87,Plant 1,2020,5,15,21,30,0,0,22.22125033,20.75869967,0,0
88,Plant 1,2020,5,15,21,45,0,0,22.23682847,20.91441667,0,0
89,Plant 1,2020,5,15,22,0,0,0,22.22185843,20.89570393,0,0
90,Plant 1,2020,5,15,22,15,0,0,22.14931253,20.73218587,0,0
91,Plant 1,2020,5,15,22,30,0,0,22.10471387,20.82985207,0,0
92,Plant 1,2020,5,15,22,45,0,0,22.05707993,21.07227567,0,0
93,Plant 1,2020,5,15,23,0,0,0,22.23601831,21.24131654,0,-3975.590909
94,Plant 1,2020,5,16,2,0,0,0,21.68216,20.072144,0,0
95,Plant 1,2020,5,16,2,15,0,0,21.6884114,19.9192038,0,0
96,Plant 1,2020,5,16,2,30,0,0,21.51040853,19.59269193,0,0
97,Plant 1,2020,5,16,2,45,0,0,21.496287,19.6248698,0,0
98,Plant 1,2020,5,16,3,0,0,0,21.6459126,20.06520593,0,0
99,Plant 1,2020,5,16,3,15,0,0,21.6743142,20.11216013,0,0
100,Plant 1,2020,5,16,3,30,0,0,21.73142093,20.351884,0,0
101,Plant 1,2020,5,16,3,45,0,0,21.78016573,20.50589407,0,0
102,Plant 1,2020,5,16,4,0,0,0,21.85855536,20.81391043,0,0
103,Plant 1,2020,5,16,4,15,0,0,21.89991073,20.71264033,0,0
104,Plant 1,2020,5,16,4,30,0,0,21.92704853,20.72603773,0,0
105,Plant 1,2020,5,16,4,45,0,0,22.0286844,20.79640287,0,0
106,Plant 1,2020,5,16,5,0,0,0,21.93278,20.6822592,0,0
107,Plant 1,2020,5,16,5,15,0,0,21.86625167,20.47236933,0,0
108,Plant 1,2020,5,16,5,30,0,0,21.87658507,20.76019287,0,0
109,Plant 1,2020,5,16,5,45,0,0,21.95998927,20.5434348,0.000147169,0.071428571
110,Plant 1,2020,5,16,6,0,51.41152597,4.961931818,21.9232375,20.25681407,0.006205959,4.05275974
111,Plant 1,2020,5,16,6,15,339.7881493,32.83863636,21.8604004,20.4303872,0.023633737,12.44074675
112,Plant 1,2020,5,16,6,30,705.974026,68.42207792,21.98583367,21.195638,0.049514968,21.8051948
113,Plant 1,2020,5,16,6,45,1128.970779,109.7591721,22.13967073,22.18941033,0.079269643,32.28977273
